Date,Adj Close,Close,High,Low,Open,Volume
2019-05-10,41.56999969,41.56999969,45,41.06000137,42,186322500
2019-05-13,37.09999847,37.09999847,39.24000168,36.08000183,38.79000092,79442400
2019-05-14,39.95999908,39.95999908,39.95999908,36.84999847,38.31000137,46661100
2019-05-15,41.29000092,41.29000092,41.88000107,38.95000076,39.36999893,36086100
2019-05-16,43,43,44.06000137,41.25,41.47999954,38115500
2019-05-17,41.90999985,41.90999985,43.29000092,41.27000046,41.97999954,20225700
2019-05-20,41.59000015,41.59000015,41.68000031,39.45999908,41.18999863,29222300
2019-05-21,41.5,41.5,42.24000168,41.25,42,10802900
2019-05-22,41.25,41.25,41.27999878,40.5,41.04999924,9089500
2019-05-23,40.47000122,40.47000122,41.09000015,40.02000046,40.79999924,11119900
2019-05-24,41.50999832,41.50999832,41.50999832,40.5,41.27999878,8786800
2019-05-28,40.95000076,40.95000076,41.79999924,40.59999847,41.70000076,13391600
2019-05-29,39.93999863,39.93999863,40.70999908,39.14699936,40.52000046,14060400
2019-05-30,39.79999924,39.79999924,40.38000107,39.5,40.06999969,26451900
2019-05-31,40.40999985,40.40999985,41.56999969,39.40999985,41.15000153,23209800
2019-06-03,41.25,41.25,41.84999847,40.24000168,40.74399948,16605300
2019-06-04,42.75,42.75,42.88000107,40.70000076,42.56000137,23432100
2019-06-05,45,45,45.65999985,42.5,42.86999893,28609600
2019-06-06,44.91999817,44.91999817,45.75,44.27999878,45,16403700
2019-06-07,44.15999985,44.15999985,45.66999817,44.13000107,44.91999817,12654700
2019-06-10,42.61000061,42.61000061,44.59000015,42.52999878,44.02000046,11618700
2019-06-11,42.45000076,42.45000076,43.65000153,41.79999924,43.22000122,9095000
2019-06-12,42.16999817,42.16999817,42.65000153,41.70999908,42.52000046,5965300
2019-06-13,44.31000137,44.31000137,44.34999847,42.79999924,43.04999924,10178900
2019-06-14,43.22999954,43.22999954,44.79999924,43.11000061,44.75,7902200
2019-06-17,43.77999878,43.77999878,44.07899857,42.93000031,43.27999878,6557600
2019-06-18,43.86000061,43.86000061,44.88999939,43.75,44.29999924,7313600
2019-06-19,44.86000061,44.86000061,45.5,43.95000076,44.45999908,10331500
2019-06-20,43.86000061,43.86000061,45.29000092,43.50999832,45.02999878,9567400
2019-06-21,44,44,44.13999939,43.38000107,43.84999847,4974000
2019-06-24,43.09000015,43.09000015,44.06999969,42.81999969,44,5985100
2019-06-25,43.09000015,43.09000015,43.79000092,42.44300079,43.27999878,5753300
2019-06-26,42.5,42.5,43.40000153,42.36000061,43.25,8109100
2019-06-27,45.13000107,45.13000107,45.29999924,43.20000076,43.34999847,20155100
2019-06-28,46.38000107,46.38000107,47.08000183,45.08000183,45.09999847,28657000
2019-07-01,44.27000046,44.27000046,47.04000092,44.06000137,46.97999954,17660500
2019-07-02,44,44,44.68000031,43.75,44.54999924,11881300
2019-07-03,44.22999954,44.22999954,44.45999908,43.79000092,44,3380000
